last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Davis, Khris,501981,133,OAK,DH,31,177,4.77,26.2
Pennington, Cliff,460060,113,CIN,3B,34,7,,26.2
Joyce, Matt,459964,133,OAK,LF,34,75,4.58,26.1
Calhoun, Kole,594777,108,LAA,RF,31,195,4.52,26.1
Shaw, Chris,622046,137,SF,LF,25,14,,26.1
Barnes, Brandon,488681,114,CLE,RF,32,9,,26.1
Brantley, Michael,488726,114,CLE,LF,31,272,4.60,26.1
Phegley, Josh,572033,133,OAK,C,30,41,4.45,26.1
Cruz, Tony,488810,113,CIN,C,32,7,,26.0
Seager, Corey,608369,119,LAD,SS,24,52,4.55,26.0
Healy, Ryon,592387,136,SEA,1B,26,177,4.63,26.0
Plawecki, Kevin,608700,121,NYM,C,27,99,4.59,26.0
Cabrera, Melky,466320,114,CLE,RF,34,128,4.44,26.0
Zunino, Mike,572287,136,SEA,C,27,102,4.57,26.0
Jay, Jon,445055,109,ARI,RF,33,283,4.50,26.0
Choo, Shin-Soo,425783,140,TEX,DH,36,242,4.43,26.0
Winker, Jesse,608385,113,CIN,RF,25,127,4.51,26.0
Garcia, Aramis,605244,137,SF,1B,25,11,,26.0
Wolters, Tony,547172,115,COL,C,26,97,4.49,26.0
Sanchez, Adrian,506703,120,WSH,2B,28,31,4.62,26.0
Mauer, Joe,408045,142,MIN,1B,35,252,4.57,26.0
Santana, Carlos,467793,143,PHI,1B,32,243,4.48,26.0
Castro, Jason,488771,142,MIN,C,31,20,,25.9
Adams, Matt,571431,138,STL,1B,30,97,4.56,25.9
McMahon, Ryan,641857,115,COL,1B,24,70,4.53,25.9
Olson, Matt,621566,133,OAK,1B,24,182,4.53,25.9
Trevino, Jose,624431,140,TEX,C,26,5,,25.9
Hedges, Austin,595978,135,SD,C,26,92,4.66,25.9
Maile, Luke,571912,141,TOR,C,27,89,4.62,25.9
Rasmus, Colby,458675,110,BAL,RF,32,13,,25.9
Alberto, Hanser,593643,140,TEX,SS,26,12,,25.9
Belt, Brandon,474832,137,SF,1B,30,117,4.47,25.9
Seager, Kyle,572122,136,SEA,3B,31,188,4.50,25.9
Sanchez, Gary,596142,147,NYY,C,26,127,4.54,25.9
Crawford, Brandon,543063,137,SF,SS,31,219,4.42,25.8
Prado, Martin,445988,146,MIA,3B,35,86,4.60,25.8
McCann, James,543510,116,DET,C,28,142,4.72,25.8
Cervelli, Francisco,465041,134,PIT,C,32,119,4.54,25.8
Vogelbach, Daniel,596129,136,SEA,1B,26,24,4.65,25.8
