last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Grisham, Trent,663757,2019,183,111,0.231,0.228,0.003,0.41,0.368,0.042,0.316,0.304,0.012
Jay, Jon,445055,2019,182,141,0.267,0.25,0.017,0.315,0.325,-0.01,0.275,0.273,0.002
Munoz, Yairo,622168,2019,181,136,0.267,0.218,0.049,0.355,0.305,0.05,0.281,0.245,0.036
Pina, Manny,444489,2019,179,109,0.228,0.229,-0.001,0.411,0.414,-0.003,0.308,0.31,-0.002
Austin, Tyler,592122,2019,179,88,0.188,0.199,-0.011,0.409,0.45,-0.041,0.298,0.317,-0.019
Zobrist, Ben,450314,2019,176,128,0.26,0.252,0.008,0.313,0.325,-0.012,0.303,0.306,-0.003
Plawecki, Kevin,608700,2019,174,128,0.222,0.222,0,0.342,0.36,-0.018,0.273,0.286,-0.013
Nunez, Eduardo,456488,2019,174,143,0.228,0.254,-0.026,0.305,0.326,-0.021,0.233,0.259,-0.026
Bour, Justin,571506,2019,170,100,0.172,0.188,-0.016,0.364,0.374,-0.01,0.267,0.28,-0.013
Miller, Brad,543543,2019,170,109,0.26,0.243,0.017,0.565,0.51,0.055,0.368,0.344,0.024
Duffy, Matt,622110,2019,169,119,0.252,0.256,-0.004,0.327,0.329,-0.002,0.299,0.307,-0.008
Lowe, Nate,663993,2019,169,104,0.263,0.258,0.005,0.454,0.457,-0.003,0.328,0.327,0.001
Long, Shed,643418,2019,168,112,0.263,0.215,0.048,0.454,0.333,0.121,0.333,0.271,0.062
Polanco, Gregory,570256,2019,167,104,0.242,0.233,0.009,0.425,0.41,0.015,0.305,0.294,0.011
Fisher, Derek,605233,2019,167,89,0.185,0.213,-0.028,0.37,0.367,0.003,0.285,0.294,-0.009
Gonzalez, Carlos,471865,2019,166,95,0.2,0.208,-0.008,0.283,0.329,-0.046,0.254,0.274,-0.02
Iannetta, Chris,455104,2019,164,91,0.222,0.231,-0.009,0.417,0.415,0.002,0.303,0.312,-0.009
Thaiss, Matt,642136,2019,164,95,0.211,0.212,-0.001,0.422,0.367,0.055,0.303,0.287,0.016
Ford, Mike,645801,2019,163,115,0.259,0.284,-0.025,0.559,0.496,0.063,0.372,0.365,0.007
Goins, Ryan,572365,2019,163,101,0.25,0.217,0.033,0.347,0.308,0.039,0.298,0.273,0.025
Reynolds, Mark,448602,2019,162,81,0.17,0.166,0.004,0.311,0.295,0.016,0.268,0.266,0.002
Knapp, Andrew,595284,2019,160,88,0.213,0.211,0.002,0.324,0.363,-0.039,0.282,0.292,-0.01
Cervelli, Francisco,465041,2019,160,101,0.213,0.207,0.006,0.348,0.354,-0.006,0.285,0.284,0.001
Tucker, Cole,657061,2019,159,108,0.211,0.247,-0.036,0.361,0.37,-0.009,0.264,0.285,-0.021
Reyes, Pablo,622569,2019,157,107,0.203,0.192,0.011,0.322,0.284,0.038,0.26,0.244,0.016
Tilson, Charlie,605508,2019,157,106,0.229,0.236,-0.007,0.285,0.31,-0.025,0.256,0.267,-0.011
Rondon, Jose,602922,2019,157,106,0.196,0.218,-0.022,0.28,0.317,-0.037,0.241,0.264,-0.023
Travis, Sam,607752,2019,157,109,0.215,0.226,-0.011,0.382,0.377,0.005,0.273,0.281,-0.008
Rojas, Josh,668942,2019,157,97,0.217,0.241,-0.024,0.312,0.416,-0.104,0.279,0.326,-0.047
Happ, Ian,664023,2019,156,102,0.264,0.256,0.008,0.564,0.526,0.038,0.368,0.353,0.015
Gonzalez, Erik,570481,2019,156,109,0.254,0.23,0.024,0.317,0.302,0.015,0.262,0.246,0.016
Hernandez, Marco,593523,2019,155,107,0.25,0.231,0.019,0.338,0.289,0.049,0.266,0.242,0.024
O'Neill, Tyler,641933,2019,151,88,0.262,0.222,0.04,0.411,0.396,0.015,0.308,0.284,0.024
Viloria, Meibrys,650619,2019,148,94,0.211,0.179,0.032,0.286,0.234,0.052,0.236,0.211,0.025
Harrison, Josh,543281,2019,147,112,0.175,0.24,-0.065,0.263,0.396,-0.133,0.208,0.286,-0.078
Stassi, Max,545358,2019,147,85,0.136,0.179,-0.043,0.167,0.266,-0.099,0.177,0.236,-0.059
Puello, Cesar,527049,2019,147,88,0.248,0.241,0.007,0.384,0.382,0.002,0.325,0.324,0.001
Williamson, Mac,607776,2019,144,84,0.156,0.202,-0.046,0.258,0.297,-0.039,0.23,0.262,-0.032
Nido, Tomas,621512,2019,144,100,0.191,0.199,-0.008,0.316,0.324,-0.008,0.228,0.237,-0.009
